StockType,StockNumber,VIN,Year,Make,Model,Trim,Odometer,Age,Price,MSRP,Cost
New,M3360,TJ4WN76L94SAXYHZ2,2025,Chevrolet,Equinox,LT,0,176,39353,41438,38066
New,M3023,61FDZTNNV72N75ZRW,2025,Chevrolet,Corvette,2LZ,0,309,69227,72897,67804
New,M3377,ZEUYHSHW5F7P8UNKL,2025,Chevrolet,Equinox,LS,0,217,79492,82722,78980
New,M3839,55JH39LU9PHFH92X7,2025,Chevrolet,Corvette,2LZ,0,309,67337,72313,65871
New,M3447,EPV5HXYGLPXT2FNJN,2023,Chevrolet,Suburban,RST,0,318,46029,48489,44915
New,M3801,GHPGX8EWMJJFH9VTY,2023,Chevrolet,Blazer,RS,0,228,51350,55260,49085
New,M3345,7YHPAH3TV84HZCJ4M,2024,Chevrolet,Traverse,LS,0,115,35565,37883,34626
New,M3834,GZZ2B86TU7XPM8FFU,2024,Chevrolet,Corvette,Z06,0,245,65780,69858,62971
New,M3879,GYCXCZLS15TGL65XT,2024,Chevrolet,Silverado 1500,LT,0,60,89782,94674,87739
New,M3097,VM8PFS5YTAK5T2RR7,2024,Chevrolet,Corvette,2LT,0,380,71798,73928,70663
New,M3270,4JX55B913S8CR1VKV,2023,Chevrolet,Equinox,LT,0,152,36933,40160,35346
New,M3036,JX7YA56N1PUUNM5A5,2025,Chevrolet,Suburban,RST,0,385,77663,82013,76737
New,M3097,9V1SXZVHL4WJ5SGCH,2025,Chevrolet,Silverado 1500,Work Truck,0,265,85628,90474,83341
New,M3656,YHDVFX9J76H9M6U8J,2023,Chevrolet,Equinox,LS,0,316,61435,65725,60559
New,M3132,Z8XY3G8J8N8D27Z6H,2025,Chevrolet,Tahoe,LS,0,82,66738,71012,64068
New,M3930,PU8NYRAAGCU2ARJPL,2025,Chevrolet,Suburban,LS,0,13,46617,48587,45024
New,M3810,4D5NNJY73WWBWP68B,2025,Chevrolet,Corvette,2LZ,0,187,65574,67474,63470
New,M3031,G72GWM63KBGKW31ZT,2025,Chevrolet,Blazer EV,AWD LT,0,183,35365,40098,33209
New,M3642,6PHD6MMX3NKX7A3TK,2023,Chevrolet,Colorado,Z71,0,193,42546,46189,41912
New,M3528,6M69U64FLJXM8Z37E,2025,Chevrolet,Blazer,RS,0,54,31592,34420,30474
New,M3898,A6AYJVNENEN3CWYRK,2023,Chevrolet,Equinox,LS,0,321,43654,47876,41603
New,M3809,1MVSWMAWW2XGZEHBU,2024,Chevrolet,Express Van,Cargo,0,317,48669,52437,47307
New,M3742,C1WLCWDNAVYBHWYAF,2023,Chevrolet,Blazer EV,AWD LT,0,326,82759,87238,81125
New,M3807,S9563VXFANM69MCS6,2023,Chevrolet,Colorado,Z71,0,294,65565,69467,64741
New,M3409,4CD1YEW2JNCRC5UT6,2025,Chevrolet,Colorado,Z71,0,297,74403,77709,73435
New,M3582,RVUJHE14LR9GJFATM,2025,Chevrolet,Blazer,RS,0,30,72249,74198,69988
New,M3750,XBU8DCT53GSGUE9GY,2025,Chevrolet,Silverado 1500,LTZ,0,217,48033,52240,45450
New,M3462,KXB1NE38C9SS3LAWT,2024,Chevrolet,Colorado,4WD LT,0,244,53394,56832,50648
New,M3362,19LPUZBHHW9WXR4JL,2025,Chevrolet,Equinox,LS,0,143,50047,51943,49258
New,M3216,57W9BDECBZLKN1A42,2024,Chevrolet,Express Van,Base,0,287,63420,66450,62114
New,M3044,PVF3HXPE3Y526BS7U,2023,Chevrolet,Corvette,2LZ,0,60,54580,57345,53668
New,M3159,K6Z1AX82YAV23T3EB,2024,Chevrolet,Colorado,Work Truck,0,13,51682,54974,49773
New,M3386,JWZTULL7RDGV45DDV,2024,Chevrolet,Tahoe,Premier,0,361,31358,36172,29656
New,M3955,ZAKBZGK34U1135WRT,2023,Chevrolet,Suburban,LS,0,207,64053,65311,63320
New,M3334,YVSUL4AANEX2T4TNU,2023,Chevrolet,Corvette,Z06,0,363,49354,50661,47771
New,M3711,C3MNCUYXYEFF756HT,2023,Chevrolet,Blazer EV,AWD LT,0,179,46392,48450,44390
New,M3004,7EC6WRKTTXCNVKT98,2025,Chevrolet,Silverado 1500,RST,0,315,84450,87232,81763
New,M3626,CNE3NFLSUZUYLU97E,2024,Chevrolet,Corvette,Z06,0,140,62395,64964,59736
New,M3309,CEBRYEB85TPVZUG53,2023,Chevrolet,Traverse,LS,0,276,88620,91488,86361
New,M3323,XCCEN8U72K1GUVHC7,2025,Chevrolet,Blazer EV,AWD LT,0,198,76111,79719,74513
New,M3195,11TUBLPN5MYM88R5D,2024,Chevrolet,Equinox,LS,0,82,38068,40699,36326
New,M3010,M8VBMF7L39PZBHSP8,2024,Chevrolet,Silverado 1500,LTZ,0,92,43379,45460,40437
New,M3350,NHTMAVDY2YSSLE36Z,2025,Chevrolet,Blazer,RS,0,13,75015,77663,72146
New,M3077,1M5GS5474WY4E46HN,2023,Chevrolet,Blazer EV,RS,0,123,80747,82902,78354
New,M3111,AFXXG4DCT72W7CU92,2023,Chevrolet,Blazer,LT,0,208,86960,91925,84962
New,M3154,RBUMW5EJ4B46XG3JV,2025,Chevrolet,Tahoe,LT,0,351,38817,42055,38077
New,M3361,THZ4Z1S7A1K8DHMVN,2025,Chevrolet,Corvette,Z06,0,291,86510,90699,85354
